type,size,layers,bp,bt
forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,3,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140
forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50
forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50
forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50
forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50
forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50
forward,14,s316:1_s316:1.5_tef:0.4,8.81,180
forward,14,s316:1_s316:1.5_tef:0.4,8.81,180
forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2
forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2
forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2
forward,16,s316:0.5_s316:0.5_ptfe:0.4,160,2
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
